age,bmi,smoker,exercise_days_per_week,health_risk
56,19.0,1,6,0
69,28.0,0,3,0
46,23.2,0,3,0
32,19.9,0,3,0
60,23.8,1,5,0
25,21.6,0,2,0
38,35.4,0,6,0
56,31.4,0,3,1
36,27.0,0,6,0
40,34.4,0,0,0
28,27.4,0,4,0
28,22.7,0,4,0
41,34.6,1,6,0
53,29.7,0,1,0
57,21.8,0,1,0
41,26.0,0,5,0
20,22.6,0,5,0
39,20.1,0,4,0
19,31.6,0,0,0
41,36.5,0,7,0
61,20.0,0,2,0
47,29.8,0,2,0
55,23.7,0,5,0
19,24.6,1,0,0
38,24.0,0,5,0
50,22.7,1,7,0
29,27.2,0,2,0
39,22.8,0,6,0
61,28.4,0,5,0
42,26.7,0,3,0
66,25.8,1,6,0
44,22.5,0,7,0
59,24.1,1,7,0
45,30.8,0,5,0
33,29.5,0,4,0
32,22.1,0,5,0
64,27.5,0,4,0
68,30.8,0,7,0
61,18.7,0,0,0
69,29.7,0,7,0
20,23.7,0,2,0
54,29.9,0,6,0
68,23.2,1,6,0
24,18.0,1,1,0
38,18.9,0,1,0
26,27.2,0,7,0
56,28.3,0,2,0
35,22.5,1,1,0
21,30.2,0,6,0
42,18.7,0,5,0
31,26.7,1,0,0
67,20.9,0,0,0
26,23.7,0,2,0
43,27.2,0,7,0
19,22.7,0,1,0
37,25.1,0,5,0
45,32.0,0,0,0
64,24.1,0,0,0
24,31.2,0,3,0
61,21.4,1,7,0
25,29.6,0,3,0
64,34.2,0,6,0
52,14.6,0,0,0
31,23.0,1,2,0
34,29.9,0,4,0
53,26.0,0,4,0
67,28.9,1,5,0
57,24.0,1,0,1
21,27.4,0,0,0
19,26.2,1,6,0
23,32.8,0,0,0
59,28.3,0,2,0
21,28.7,0,3,0
46,24.9,0,0,0
35,24.6,0,0,0
43,24.8,0,6,0
61,29.0,0,7,0
51,24.9,0,1,0
27,28.4,1,7,0
53,37.4,0,6,0
31,31.4,0,7,0
48,25.4,0,6,0
65,33.0,1,2,1
32,25.0,0,5,0
25,16.8,1,0,0
31,22.0,0,6,0
40,17.6,0,6,0
57,25.2,0,1,0
38,27.1,0,6,0
33,35.4,0,4,0
62,28.6,1,5,0
35,25.9,0,0,0
64,31.1,0,0,1
41,15.9,1,1,0
43,28.2,0,2,0
42,30.9,1,0,1
62,19.6,0,4,0
58,32.7,0,0,1
46,28.7,0,4,0
32,24.9,0,5,0
62,30.2,1,5,1
18,38.4,0,3,0
42,27.9,0,3,0
24,28.2,0,4,0
26,24.7,0,2,0
41,22.8,1,0,0
18,31.2,0,6,0
61,22.7,0,0,0
25,27.4,1,3,0
41,24.6,0,7,0
28,29.4,1,6,0
68,28.7,0,4,0
34,32.2,0,6,0
25,24.4,0,7,0
52,25.7,0,0,0
52,22.1,1,0,1
50,24.8,0,2,0
22,28.9,0,1,0
59,30.8,0,6,0
56,22.4,0,3,0
58,31.3,0,7,0
45,33.8,1,7,0
24,29.1,0,7,0
26,36.4,0,3,0
25,23.1,0,1,0
29,20.8,0,0,0
51,18.1,0,2,0
50,34.5,0,2,0
65,30.3,1,3,1
